email_normalized,wallet_old_id,kyc_old_id,voucher_old_id,order_old_id,new_uuid,created_at
superadmin@kyc.com,,17,,,69d4f975-2dce-4047-840d-ebdf6b7fcdf3,2026-04-01 15:58:06.720678
admin@hdfcbank.com,,40,,,3fff8fbd-0d6f-4f2b-bdb8-9e628ce081d8,2026-04-01 15:58:06.720678
admin@testbank.com,,19,,,fd494ce5-e92a-4382-bbb1-4780d1a6912b,2026-04-01 15:58:06.720678
admin@acmebank.com,,20,,,f6d79982-42e6-4c8d-b5d4-52bb64b9c37c,2026-04-01 15:58:06.720678
admin@kyc.com,,18,,,b670d1f0-55d6-4f1e-8e13-cd254e6b410b,2026-04-01 15:58:06.720678
processing@example.com,,37,,,ff257f4f-d3c5-48d2-a143-6fa3947106a6,2026-04-01 15:58:06.720678
submitted@example.com,,38,,,0481c94f-740a-447a-a613-13bb084037bb,2026-04-01 15:58:06.720678
error@example.com,,39,,,0b5e46fb-7c5b-4fe8-9810-acffb419a793,2026-04-01 15:58:06.720678
concurrent.userone.731bc2f4@example.com,,43,,,84d66cac-aad3-4885-bcdc-eb59155cdc38,2026-04-01 15:58:06.720678
concurrent.usertwo.731bc2f4@example.com,,44,,,69964b94-7553-45d3-8aac-36034105b40f,2026-04-01 15:58:06.720678
concurrent.userone.e03d65ea@example.com,,45,,,871d6735-9aa5-4903-a00f-e180ced9e368,2026-04-01 15:58:06.720678
concurrent.usertwo.e03d65ea@example.com,,46,,,969c48f3-739a-4e71-8931-da53cd305170,2026-04-01 15:58:06.720678
concurrent.userone.db05c15b@example.com,,47,,,b78d909f-87b4-4d64-9deb-9ebcfe7f57e1,2026-04-01 15:58:06.720678
concurrent.usertwo.db05c15b@example.com,,48,,,677529ea-39d3-429a-a491-fa39c70b5290,2026-04-01 15:58:06.720678
concurrent.userone.71a983e3@example.com,,49,,,b890bf23-28eb-455a-aba2-93505e27c045,2026-04-01 15:58:06.720678
concurrent.usertwo.71a983e3@example.com,,50,,,eec1c867-9ca4-4a88-82e3-4e45e8ab5994,2026-04-01 15:58:06.720678
concurrent.userone.3823942f@example.com,,51,,,c850013c-8532-49d9-9517-472d940788cb,2026-04-01 15:58:06.720678
concurrent.usertwo.3823942f@example.com,,52,,,4946d430-5b9a-403d-9aac-2cd22efb571b,2026-04-01 15:58:06.720678
concurrent.userone.aab7dd1e@example.com,,53,,,29780541-190d-4b18-ac82-31eb8a2c3b7f,2026-04-01 15:58:06.720678
abcxyz6510@gmail.com,,66,,,0e893883-7ff6-4b11-97a9-151cdcd33a8d,2026-04-01 15:58:06.720678
test.admin@gmail.com,21,,,,48e1db65-4aaa-41f1-875a-1ceb123ac5d9,2026-04-01 15:58:06.720678
testorg1@gmail.com,22,,,,bdc70ade-ad46-4b19-99fc-be6dc31f75f2,2026-04-01 15:58:06.720678
tithaalsheth@gmail.com,20,,,,53e9c3cb-d67f-40b6-b819-0cc58414edd3,2026-04-01 15:58:06.720678
azilen.admin@gmail.com,23,,,,48d58de9-0765-4223-ae4e-1b83fcadbec8,2026-04-01 15:58:06.720678
testuser1@azilen.com,24,,,,caa1bff9-ec56-4061-8b42-bb9b75d28d0b,2026-04-01 15:58:06.720678
sender_c@example.com,31,,,,8fdcc90e-ff3c-4d09-9700-6452e38af225,2026-04-01 15:58:06.720678
recipient_c@example.com,32,,,,2bbe2894-ceb0-48a0-84a7-520a06b2339a,2026-04-01 15:58:06.720678
recipient_c_d0453d78@example.com,50,,,,8c46a7dd-186e-4aae-b3f5-a1060157f686,2026-04-01 15:58:06.720678
testuser@example.com,1,,,,8926d8b0-e1a9-4659-a16d-b74b92cc4631,2026-04-01 15:58:06.720678
testinguser1@example.com,2,,,,9e21f3da-8c5a-42d4-b744-7ee56d0e2771,2026-04-01 15:58:06.720678
superadmin@platformadmin.com,25,,,,95b500e7-8943-4ab7-8804-596c2716b7e1,2026-04-01 15:58:06.720678
